,SUBDIVISION,YEAR,MONTH,MAX_TEMP,MIN_TEMP,MEAN_TEMP,PRECEPTIONS,PRESSURE,WIND_SPEED,RAINFALL
1,ANDAMAN & NICOBAR ISLANDS,1981.0,1.0,10.68,23.8,17.21,20.72,94.2,7.29,11.1
2,ANDAMAN & NICOBAR ISLANDS,1981.0,2.0,12.99,27.48,20.21,8.59,94.1,7.15,27.8
3,ANDAMAN & NICOBAR ISLANDS,1981.0,3.0,16.5,30.73,23.59,34.1,93.97,7.05,1.7
4,ANDAMAN & NICOBAR ISLANDS,1981.0,4.0,21.06,35.07,28.04,35.36,93.78,9.35,94.1
5,ANDAMAN & NICOBAR ISLANDS,1981.0,5.0,23.54,36.59,30.04,64.94,93.66,8.31,270.8
6,ANDAMAN & NICOBAR ISLANDS,1981.0,6.0,24.72,35.17,29.92,142.82,93.56,9.61,600.6
7,ANDAMAN & NICOBAR ISLANDS,1981.0,7.0,23.33,30.73,27.01,319.13,93.58,8.81,344.1
8,ANDAMAN & NICOBAR ISLANDS,1981.0,8.0,22.88,30.25,26.54,253.92,93.62,10.47,510.7
9,ANDAMAN & NICOBAR ISLANDS,1981.0,9.0,22.13,31.17,26.63,204.78,93.69,8.7,452.6
10,ANDAMAN & NICOBAR ISLANDS,1981.0,10.0,19.07,30.94,24.98,52.51,93.94,8.83,242.1
11,ANDAMAN & NICOBAR ISLANDS,1981.0,11.0,13.98,27.08,20.5,22.46,94.05,7.58,348.4
12,ANDAMAN & NICOBAR ISLANDS,1981.0,12.0,10.9,24.56,17.71,11.81,94.3,7.23,170.7
1,ANDAMAN & NICOBAR ISLANDS,1981.0,1.0,10.68,23.8,17.21,20.72,94.2,7.29,11.1
2,ANDAMAN & NICOBAR ISLANDS,1981.0,2.0,12.99,27.48,20.21,8.59,94.1,7.15,27.8
3,ANDAMAN & NICOBAR ISLANDS,1981.0,3.0,16.5,30.73,23.59,34.1,93.97,7.05,1.7
4,ANDAMAN & NICOBAR ISLANDS,1981.0,4.0,21.06,35.07,28.04,35.36,93.78,9.35,94.1
5,ANDAMAN & NICOBAR ISLANDS,1981.0,5.0,23.54,36.59,30.04,64.94,93.66,8.31,270.8
6,ANDAMAN & NICOBAR ISLANDS,1981.0,6.0,24.72,35.17,29.92,142.82,93.56,9.61,600.6
7,ANDAMAN & NICOBAR ISLANDS,1981.0,7.0,23.33,30.73,27.01,319.13,93.58,8.81,344.1
8,ANDAMAN & NICOBAR ISLANDS,1981.0,8.0,22.88,30.25,26.54,253.92,93.62,10.47,510.7
9,ANDAMAN & NICOBAR ISLANDS,1981.0,9.0,22.13,31.17,26.63,204.78,93.69,8.7,452.6
10,ANDAMAN & NICOBAR ISLANDS,1981.0,10.0,19.07,30.94,24.98,52.51,93.94,8.83,242.1
11,ANDAMAN & NICOBAR ISLANDS,1981.0,11.0,13.98,27.08,20.5,22.46,94.05,7.58,348.4
12,ANDAMAN & NICOBAR ISLANDS,1981.0,12.0,10.9,24.56,17.71,11.81,94.3,7.23,170.7
1,ANDAMAN & NICOBAR ISLANDS,1982.0,1.0,11.35,24.72,18.02,17.44,94.18,7.68,8.8
